NOC_id,NOC_name
1,"CHN"
2,"DEN"
3,"NED"
4,"USA"
5,"FIN"
6,"NOR"
7,"ROU"
8,"EST"
9,"FRA"
10,"MAR"
11,"ESP"
12,"EGY"
13,"IRI"
14,"BUL"
15,"ITA"
16,"CHA"
17,"AZE"
18,"SUD"
19,"RUS"
20,"ARG"
21,"CUB"
22,"BLR"
23,"GRE"
24,"CMR"
25,"TUR"
26,"CHI"
27,"MEX"
28,"URS"
29,"NCA"
30,"HUN"
31,"NGR"
32,"ALG"
33,"KUW"
34,"BRN"
35,"PAK"
36,"IRQ"
37,"UAR"
38,"LIB"
39,"QAT"
40,"MAS"
41,"GER"
42,"CAN"
43,"IRL"
44,"AUS"
45,"RSA"
46,"ERI"
47,"TAN"
48,"JOR"
49,"TUN"
50,"LBA"
51,"BEL"
52,"DJI"
53,"PLE"
54,"COM"
55,"KAZ"
56,"BRU"
57,"IND"
58,"KSA"
59,"SYR"
60,"MDV"
61,"ETH"
62,"UAE"
63,"YAR"
64,"INA"
65,"PHI"
66,"SGP"
67,"UZB"
68,"KGZ"
69,"TJK"
70,"EUN"
71,"JPN"
72,"CGO"
73,"SUI"
74,"BRA"
75,"FRG"
76,"GDR"
77,"MON"
78,"ISR"
79,"URU"
80,"SWE"
81,"ISV"
82,"SRI"
83,"ARM"
84,"CIV"
85,"KEN"
86,"BEN"
87,"UKR"
88,"GBR"
89,"GHA"
90,"SOM"
91,"LAT"
92,"NIG"
93,"MLI"
94,"AFG"
95,"POL"
96,"CRC"
97,"PAN"
98,"United States"
99,"GEO"
100,"SLO"
101,"CRO"
102,"GUY"
103,"NZL"
104,"POR"
105,"PAR"
106,"ANG"
107,"VEN"
108,"COL"
109,"BAN"
110,"PER"
111,"ESA"
112,"PUR"
113,"UGA"
114,"HON"
115,"ECU"
116,"TKM"
117,"MRI"
118,"SEY"
119,"TCH"
120,"LUX"
121,"MTN"
122,"CZE"
123,"Germany"
124,"SKN"
125,"TTO"
126,"DOM"
127,"VIN"
128,"Mystery"
129,"JAM"
130,NA
131,"LBR"
132,"SUR"
133,"NEP"
134,"MGL"
135,"AUT"
136,"PLW"
137,"LTU"
138,"TOG"
139,"NAM"
140,"AHO"
141,"ISL"
142,"ASA"
143,"SAM"
144,"RWA"
145,"DMA"
146,"Philippines"
147,"HAI"
148,"MLT"
149, Central Naval Prep School ""Poros""-1"
150,"CYP"
151,"GUI"
152,"BIZ"
153,"YMD"
154,"KOR"
155,"Finland"
156,"THA"
157,"BER"
158,"ANZ"
159,"SCG"
160,"SLE"
161,"PNG"
162,"YEM"
163,"IOA"
164,"OMA"
165,"FIJ"
166,"VAN"
167,"MDA"
168,"YUG"
169,"BAH"
170,"GUA"
171,"SRB"
172,"IVB"
173,"MOZ"
174,"CAF"
175,"MAD"
176,"MAL"
177,"BIH"
178,"GUM"
179,"CAY"
180,"SVK"
181,"BAR"
182,"GBS"
183,"Puerto Rico-2"
184,"Puerto Rico"
185,"TLS"
186,"COD"
187,"GAB"
188,"SMR"
189,"LAO"
190,"BOT"
191,"ROT"
192,"CAM"
193,"PRK"
194,"SOL"
195,"Denmark"
196,"Sweden"
197,"SEN"
198,"CPV"
199,"France"
200,"CRT"
201,"Great Britain"
202,"GEQ"
203,"BOL"
204,"SAA"
205,"AND"
206,"ANT"
207,"Romania"
208,"Poland"
209,"Bolivia"
210, Chicago"
211,"United States-2"
212,"ZIM"
213,"GRN"
214,"Canada"
215,"HKG"
216,"LCA"
217,"Federated States of Micronesia"
218,"MYA"
219,"Evita VI"
220,"Austria"
221,"MAW"
222,"Hungary"
223,"ZAM"
224,"RHO"
225,"TPE"
226,"STP"
227,"MKD"
228,"United States-1"
229,"BOH"
230,"TGA"
231,"LIE"
232,"MNE"
233, Passaic"
234,"GAM"
235,"Unified Team-2"
236,"COK"
237,"ALB"
238,"Cameroon"
239,"WIF"
240, Davenport"
241, Brooklyn"
242, Cleveland"
243, New York"
244,"SWZ"
245,"Angelita"
246,"BUR"
247,"NBO"
248,"BDI"
249,"New York Turnverein
250,"ARU"
251,"New Zealand"
252,"Guam"
253,"Belgium"
254,"Ukraine"
255,"East Germany"
256,"Puerto Rico-1"
257,"Russia"
258,54
259,"FSM"
260,"Netherlands"
261, Oxford-2"
262,"NRU"
263,"Jamaica"
264,"Australia"
265, Rugby"
266,"VNM"
267,"Brazil"
268,"Argentina"
269,"VIE"
270,"Czechoslovakia"
271,"Czech Republic"
272,"Complex II"
273,"BHU"
274,"United States Virgin Islands"
275,"Great Britain-1"
276, Manchester"
277,"Hong Kong"
278,"Chile"
279,"Cuba"
280,"MHL"
281,"United States-6"
282, Leitmeritz"
283,"Canada-1"
284,49
285,"KIR"
286,67
287,"United States-7"
288,"Spain"
289, Paris"
290,"Bem II"
291,"St. Margrite"
292,"DeRuyter"
293,65
294,"Ecuador"
295,"Austria-2"
296,"Austria-1"
297,"Concordia Turnverein
298,"Soviet Union"
299, St Louis"
300,"Viking"
301,"Silja"
302,"Gallant"
303,"Switzerland"
304,"Rhythm"
305,"UNK"
306,"Spirit III"
307,"Canada-2"
308,"Canada-3"
309,"Turkey"
310,"Norway"
311,"TUV"
312,"Apache"
313,57
314,"Vesper Boat Club"
315,"West Germany"
316,"Yugoslavia"
317,"Individual Olympic Athletes"
318,"United States Virgin Islands-1"
319,"NFL"
320,"Liechtenstein"
321, Detroit"
322,"Australia-1"
323,"Peru"
324,"Bulgaria"
325,"Israel"
326,"KOS"
327,"Germania Ruder Club
328,"Bohemia"
329,"Soviet Union-1"
330,"Russia-1"
331,"Panama"
332,"Quicksilver-2"
333, Hamburg-2"
334, Hamburg"
335,"Brussels Swimming and Water Polo Club"
336,"Scotia"
337, Philadelphia"
338,"United States-3"
339,"Bera"
340,58
341,48
342,"Germany/United States"
343,"SSD"
344,"Dolfijn"
345,"Antwerpia V"
346,45
347, Milwaukee"
348,"LES"
349,"Great Britain-2"
350,"Skidoo"
351,"Luxembourg"
352,"Christian Brothers' College-1"
353,"Lebanon"
354,"Angerburg"
355,68
356,"Latvia"
357,"Pam"
358,"Oleander II"
359,"Germany-1"
360,"Spirit VI"
361,"Unified Team"
362,56
363,"Jupiter"
364,"Italy"
365,"Llanoria"
366,"Sirene"
367,"Encore"
368,61
369,"Slovakia"
370,"Guatemala"
371,"Zimbabwe"
372,"Bingo"
373,"Widgeon"
374,"Unified Team-1"
375,"Russia-2"
376,"Mexico"
377,"Western Golf Association-1"
378,"Frieda"
379,"Bahamas"
380,"Norwegier Turnverein
381,"Nigeria"
382,"Tineke"
383,"Great Britain-3"
384,"Cook Islands"
