city_id,city_name
1,"Barcelona"
2,"London"
3,"Antwerpen"
4,"Paris"
5,"Calgary"
6,"Albertville"
7,"Lillehammer"
8,"Los Angeles"
9,"Salt Lake City"
10,"Helsinki"
11,"Lake Placid"
12,"Sydney"
13,"Atlanta"
14,"Stockholm"
15,"Sochi"
16,"Nagano"
17,"Torino"
18,"Beijing"
19,"Rio de Janeiro"
20,"Athina"
21,"Squaw Valley"
22,"Innsbruck"
23,"Sarajevo"
24,"Mexico City"
25,"Munich"
26,"Seoul"
27,"Berlin"
28,"Oslo"
29,"Cortina d'Ampezzo"
30,"Melbourne"
31,"Roma"
32,"Amsterdam"
33,"Montreal"
34,"Moskva"
35,"Tokyo"
36,"Vancouver"
37,"Grenoble"
38,"Sapporo"
39,"Chamonix"
40,"St. Louis"
41,"Summer"
42,"Sankt Moritz"
43,"Garmisch-Partenkirchen"
44,1928
45,"Winter"
46,1936
47,1948
48,1904
49,1992
50,1980
51,1976
52,1972
53,1932
54,1988
55,1956
56,1900
57,1994
58,1924
59,"1928 Summer"
60,"1932 Summer"
61,2000
62,2004
63,1952
64,1968
65,1964
66,1960
67,1920
