event_id,event_name
1,"Basketball Men's Basketball"
2,"Judo Men's Extra-Lightweight"
3,"Football Men's Football"
4,"Tug-Of-War Men's Tug-Of-War"
5,"Speed Skating Women's 500 metres"
6,"Speed Skating Women's 1
7,"Cross Country Skiing Men's 10 kilometres"
8,"Cross Country Skiing Men's 50 kilometres"
9,"Cross Country Skiing Men's 10/15 kilometres Pursuit"
10,"Cross Country Skiing Men's 4 x 10 kilometres Relay"
11,"Cross Country Skiing Men's 30 kilometres"
12,"Athletics Women's 100 metres"
13,"Athletics Women's 4 x 100 metres Relay"
14,"Ice Hockey Men's Ice Hockey"
15,"Swimming Men's 400 metres Freestyle"
16,"Badminton Men's Singles"
17,"Sailing Women's Windsurfer"
18,"Biathlon Women's 7.5 kilometres Sprint"
19,"Swimming Men's 200 metres Breaststroke"
20,"Swimming Men's 400 metres Breaststroke"
21,"Gymnastics Men's Individual All-Around"
22,"Gymnastics Men's Team All-Around"
23,"Gymnastics Men's Floor Exercise"
24,"Gymnastics Men's Horse Vault"
25,"Gymnastics Men's Parallel Bars"
26,"Gymnastics Men's Horizontal Bar"
27,"Gymnastics Men's Rings"
28,"Gymnastics Men's Pommelled Horse"
29,"Athletics Men's Shot Put"
30,"Art Competitions Mixed Sculpturing
31,"Alpine Skiing Men's Downhill"
32,"Alpine Skiing Men's Super G"
33,"Alpine Skiing Men's Giant Slalom"
34,"Alpine Skiing Men's Slalom"
35,"Alpine Skiing Men's Combined"
36,"Handball Women's Handball"
37,"Weightlifting Women's Super-Heavyweight"
38,"Wrestling Men's Light-Heavyweight
39,"Speed Skating Men's 500 metres"
40,"Speed Skating Men's 1
41,"Gymnastics Men's Team All-Around
42,"Luge Women's Singles"
43,"Water Polo Men's Water Polo"
44,"Sailing Mixed Three Person Keelboat"
45,"Hockey Women's Hockey"
46,"Rowing Men's Lightweight Double Sculls"
47,"Athletics Men's Pole Vault"
48,"Athletics Men's High Jump"
49,"Sailing Men's Two Person Dinghy"
50,"Athletics Men's 1
51,"Bobsleigh Men's Four"
52,"Swimming Men's 100 metres Butterfly"
53,"Swimming Men's 200 metres Butterfly"
54,"Swimming Men's 4 x 100 metres Medley Relay"
55,"Football Women's Football"
56,"Fencing Men's Foil
57,"Fencing Men's epee
58,"Speed Skating Men's 5
59,"Speed Skating Men's 10
60,"Sailing Mixed 8 metres"
61,"Equestrianism Mixed Jumping
62,"Cross Country Skiing Men's 15 kilometres"
63,"Shooting Men's Small-Bore Rifle
64,"Shooting Men's Rapid-Fire Pistol
65,"Shooting Men's Trap"
66,"Athletics Men's 4 x 100 metres Relay"
67,"Athletics Men's Long Jump"
68,"Boxing Men's Light-Welterweight"
69,"Athletics Women's Javelin Throw"
70,"Wrestling Men's Heavyweight
71,"Taekwondo Men's Flyweight"
72,"Boxing Men's Heavyweight"
73,"Athletics Men's 5
74,"Cycling Men's Road Race
75,"Weightlifting Men's Lightweight"
76,"Weightlifting Men's Middleweight"
77,"Rowing Men's Coxless Pairs"
78,"Judo Men's Half-Middleweight"
79,"Taekwondo Women's Flyweight"
80,"Boxing Men's Flyweight"
81,"Basketball Women's Basketball"
82,"Diving Men's Platform"
83,"Canoeing Men's Canadian Doubles
84,"Canoeing Men's Kayak Fours
85,"Handball Men's Handball"
86,"Rowing Women's Coxless Pairs"
87,"Boxing Men's Middleweight"
88,"Judo Men's Lightweight"
89,"Boxing Men's Featherweight"
90,"Tennis Men's Doubles"
91,"Shooting Mixed Skeet"
92,"Wrestling Men's Featherweight
93,"Sailing Mixed Two Person Heavyweight Dinghy"
94,"Athletics Women's Shot Put"
95,"Rowing Men's Coxed Eights"
96,"Cycling Women's Sprint"
97,"Cycling Women's 500 metres Time Trial"
98,"Athletics Men's 110 metres Hurdles"
99,"Shooting Mixed Trap"
100,"Athletics Women's Marathon"
101,"Athletics Men's 100 metres"
102,"Fencing Men's Sabre
103,"Swimming Men's 100 metres Freestyle"
104,"Swimming Men's 4 x 200 metres Freestyle Relay"
105,"Boxing Men's Lightweight"
106,"Modern Pentathlon Men's Individual"
107,"Boxing Men's Welterweight"
108,"Rowing Men's Quadruple Sculls"
109,"Rowing Men's Double Sculls"
110,"Rowing Men's Coxed Pairs"
111,"Athletics Men's 400 metres Hurdles"
112,"Athletics Men's 400 metres"
113,"Athletics Men's Hammer Throw"
114,"Weightlifting Men's Featherweight"
115,"Athletics Men's 800 metres"
116,"Hockey Men's Hockey"
117,"Alpine Skiing Women's Slalom"
118,"Rowing Women's Single Sculls"
119,"Swimming Men's 50 metres Freestyle"
120,"Weightlifting Women's Featherweight"
121,"Water Polo Women's Water Polo"
122,"Figure Skating Men's Singles"
123,"Weightlifting Men's Heavyweight"
124,"Equestrianism Mixed Three-Day Event
125,"Figure Skating Mixed Team"
126,"Sailing Women's Three Person Keelboat"
127,"Cycling Women's Road Race
128,"Golf Women's Individual"
129,"Softball Women's Softball"
130,"Archery Women's Individual"
131,"Volleyball Men's Volleyball"
132,"Taekwondo Women's Heavyweight"
133,"Synchronized Swimming Women's Duet"
134,"Synchronized Swimming Women's Team"
135,"Taekwondo Women's Featherweight"
136,"Athletics Men's Marathon"
137,"Athletics Men's 4 x 400 metres Relay"
138,"Athletics Men's 10
139,"Athletics Women's 3
140,"Diving Women's Platform"
141,"Shooting Men's Air Rifle
142,"Athletics Men's 200 metres"
143,"Weightlifting Men's Flyweight"
144,"Swimming Men's 100 metres Backstroke"
145,"Weightlifting Men's Light-Heavyweight"
146,"Wrestling Men's Lightweight
147,"Wrestling Men's Super-Heavyweight
148,"Shooting Men's Free Pistol
149,"Shooting Men's Air Pistol
150,"Rowing Men's Coxless Fours"
151,"Boxing Men's Light-Flyweight"
152,"Boxing Men's Super-Heavyweight"
153,"Wrestling Men's Flyweight
154,"Shooting Women's Air Rifle
155,"Weightlifting Men's Middle-Heavyweight"
156,"Athletics Men's Javelin Throw"
157,"Volleyball Women's Volleyball"
158,"Wrestling Men's Welterweight
159,"Wrestling Men's Middleweight
160,"Athletics Men's 3
161,"Swimming Women's 100 metres Backstroke"
162,"Swimming Women's 200 metres Backstroke"
163,"Swimming Women's 4 x 100 metres Medley Relay"
164,"Modern Pentathlon Men's Team"
165,"Boxing Men's Bantamweight"
