team_id,team_name
1,"China"
2,"Denmark"
3,"Denmark/Sweden"
4,"Netherlands"
5,"United States"
6,"Finland"
7,"Norway"
8,"Romania"
9,"Estonia"
10,"France"
11,"Taifun"
12,"Morocco"
13,"Spain"
14,"Egypt"
15,"Iran"
16,"Bulgaria"
17,"Italy"
18,"Chad"
19,"Azerbaijan"
20,"Sudan"
21,"Russia"
22,"Argentina"
23,"Cuba"
24,"Belarus"
25,"Greece"
26,"Cameroon"
27,"Turkey"
28,"Chile"
29,"Mexico"
30,"Soviet Union"
31,"Nicaragua"
32,"Hungary"
33,"Nigeria"
34,"Algeria"
35,"Kuwait"
36,"Bahrain"
37,"Pakistan"
38,"Iraq"
39,"United Arab Republic"
40,"Lebanon"
41,"Qatar"
42,"Malaysia"
43,"Germany"
44,"Thessalonki-1"
45,"Canada"
46,"Ireland"
47,"Australia"
48,"South Africa"
49,"Eritrea"
50,"Tanzania"
51,"Jordan"
52,"Tunisia"
53,"Libya"
54,"Belgium"
55,"Djibouti"
56,"Palestine"
57,"Comoros"
58,"Kazakhstan"
59,"Brunei"
60,"India"
61,"Saudi Arabia"
62,"Syria"
63,"Maldives"
64,"Ethiopia"
65,"United Arab Emirates"
66,"North Yemen"
67,"Indonesia"
68,"Philippines"
69,"Singapore"
70,"Uzbekistan"
71,"Kyrgyzstan"
72,"Tajikistan"
73,"Unified Team"
74,"Japan"
75,"Japan-1"
76,"Congo (Brazzaville)"
77,"Switzerland"
78,"Brazil"
79,"West Germany"
80,"East Germany"
81,"Monaco"
82,"Fornebo"
83,"Israel"
84,"Vesper Boat Club"
85,"Uruguay"
86,"Sweden"
87,"United States Virgin Islands"
88,"Sri Lanka"
89,"Armenia"
90,"Cote d'Ivoire"
91,"Kenya"
92,"Benin"
93,"France-1"
94,"Ukraine"
95,"Great Britain"
96,"Ghana"
97,"Somalia"
98,"Latvia"
99,"Niger"
100,"Mali"
101,"Afghanistan"
102,"Poland"
103,"Costa Rica"
104,"Panama"
105,67
106,87
107,"Georgia"
108,"Slovenia"
109,"Croatia"
110,"Russia-2"
111,"Russia-1"
112,"Guyana"
113,"New Zealand"
114,"Portugal"
115,"Paraguay"
116,"Angola"
117,"Venezuela"
118,"Colombia"
119,"Bangladesh"
120,"Peru"
121,"El Salvador"
122,"Puerto Rico"
123,"France-2"
124,"Uganda"
125,"Switzerland-2"
126,"Switzerland-1"
127,"Honduras"
128,"Ecuador"
129,"Turkmenistan"
130,"Mauritius"
131,"Seychelles"
132,"Czechoslovakia"
133,"Great Britain-1"
134,"Luxembourg"
135,"Mauritania"
136,"Czech Republic"
137,68
138,"Saint Kitts and Nevis"
139,"New York Athletic Club #2-4"
140,"Trinidad and Tobago"
141,"Dominican Republic"
142,"Saint Vincent and the Grenadines"
143,NA
144,"Jamaica"
145,"Liberia"
146,"Suriname"
147,"Nigeria-2"
